Brown University Keck/NASA Relab Spectrum LR-CMP-168/BIR2LR168
Wavelength(micron)	Reflectance
1	0.05499
1.0002	0.05499
1.0004	0.05488
1.0006	0.05490
1.0008	0.05492
1.001	0.05499
1.0012	0.05504
1.0014	0.05494
1.0016	0.05480
1.0018	0.05488
1.0019	0.05509
1.0021	0.05519
1.0023	0.05513
1.0025	0.05508
1.0027	0.05517
1.0029	0.05520
1.0031	0.05522
1.0033	0.05519
1.0035	0.05517
1.0037	0.05517
1.0039	0.05521
1.0041	0.05523
1.0043	0.05530
1.0045	0.05531
1.0047	0.05534
1.0049	0.05538
1.005	0.05532
1.0053	0.05528
1.0054	0.05524
1.0056	0.05521
1.0058	0.05534
1.006	0.05553
1.0062	0.05572
1.0064	0.05575
1.0066	0.05566
1.0068	0.05565
1.007	0.05566
1.0072	0.05565
1.0074	0.05568
1.0076	0.05564
1.0078	0.05558
1.008	0.05567
1.0082	0.05576
1.0084	0.05579
1.0086	0.05571
1.0088	0.05563
1.009	0.05575
1.0092	0.05592
1.0094	0.05597
1.0095	0.05591
1.0098	0.05593
1.01	0.05609
1.0101	0.05619
1.0103	0.05609
1.0105	0.05606
1.0107	0.05600
1.0109	0.05602
1.0111	0.05608
1.0113	0.05616
1.0115	0.05617
1.0117	0.05603
1.0119	0.05607
1.0121	0.05617
1.0123	0.05630
1.0125	0.05630
1.0127	0.05629
1.0129	0.05640
1.0131	0.05639
1.0133	0.05629
1.0135	0.05630
1.0137	0.05651
1.0139	0.05666
1.0141	0.05663
1.0143	0.05659
1.0145	0.05658
1.0147	0.05653
1.0149	0.05655
1.0151	0.05670
1.0153	0.05679
1.0155	0.05668
1.0157	0.05670
1.0159	0.05673
1.0161	0.05674
1.0163	0.05685
1.0165	0.05693
1.0167	0.05692
1.0169	0.05697
1.0171	0.05703
1.0173	0.05704
1.0175	0.05699
1.0177	0.05687
1.0179	0.05689
1.0181	0.05701
1.0183	0.05714
1.0185	0.05732
1.0187	0.05748
1.0189	0.05747
1.0191	0.05732
1.0193	0.05726
1.0195	0.05735
1.0197	0.05732
1.0199	0.05729
1.0201	0.05744
1.0203	0.05761
1.0205	0.05760
1.0207	0.05752
1.0209	0.05760
1.0211	0.05785
1.0213	0.05786
1.0215	0.05776
1.0217	0.05778
1.0219	0.05777
1.0221	0.05768
1.0223	0.05762
1.0225	0.05773
1.0227	0.05786
1.0229	0.05795
1.0231	0.05792
1.0233	0.05804
1.0235	0.05814
1.0237	0.05810
1.0239	0.05804
1.0241	0.05808
1.0243	0.05812
1.0245	0.05824
1.0247	0.05830
1.0249	0.05826
1.0251	0.05840
1.0253	0.05854
1.0255	0.05859
1.0257	0.05857
1.0259	0.05860
1.0261	0.05856
1.0263	0.05865
1.0265	0.05868
1.0268	0.05864
1.0269	0.05875
1.0272	0.05888
1.0274	0.05876
1.0276	0.05873
1.0278	0.05888
1.028	0.05896
1.0282	0.05901
1.0284	0.05900
1.0286	0.05901
1.0288	0.05910
1.029	0.05927
1.0292	0.05928
1.0294	0.05929
1.0296	0.05938
1.0298	0.05938
1.03	0.05934
1.0302	0.05948
1.0304	0.05965
1.0306	0.05955
1.0308	0.05953
1.031	0.05967
1.0312	0.05966
1.0314	0.05981
1.0317	0.05996
1.0318	0.05995
1.0321	0.05984
1.0323	0.05987
1.0325	0.05999
1.0327	0.05999
1.0329	0.06005
1.0331	0.06013
1.0333	0.06011
1.0335	0.06011
1.0337	0.06017
1.0339	0.06023
1.0341	0.06029
1.0343	0.06031
1.0345	0.06038
1.0347	0.06046
1.0349	0.06042
1.0352	0.06053
1.0354	0.06074
1.0356	0.06080
1.0358	0.06077
1.036	0.06080
1.0362	0.06079
1.0364	0.06091
1.0366	0.06096
1.0368	0.06096
1.037	0.06101
1.0372	0.06115
1.0374	0.06113
1.0376	0.06105
1.0378	0.06125
1.0381	0.06143
1.0383	0.06148
1.0385	0.06139
1.0387	0.06139
1.0389	0.06159
1.0391	0.06167
1.0393	0.06166
1.0395	0.06161
1.0397	0.06170
1.0399	0.06173
1.0401	0.06173
1.0403	0.06182
1.0406	0.06207
1.0408	0.06213
1.041	0.06209
1.0412	0.06212
1.0414	0.06230
1.0416	0.06237
1.0418	0.06239
1.042	0.06241
1.0422	0.06245
1.0424	0.06248
1.0426	0.06254
1.0428	0.06265
1.0431	0.06259
1.0433	0.06267
1.0435	0.06280
1.0437	0.06278
1.0439	0.06280
1.0441	0.06289
1.0443	0.06303
1.0445	0.06319
1.0447	0.06335
1.045	0.06341
1.0452	0.06336
1.0454	0.06337
1.0456	0.06346
1.0458	0.06346
1.046	0.06353
1.0462	0.06347
1.0464	0.06358
1.0466	0.06379
1.0468	0.06386
1.0471	0.06392
1.0473	0.06400
1.0475	0.06405
1.0477	0.06413
1.0479	0.06417
1.0481	0.06430
1.0483	0.06441
1.0486	0.06438
1.0488	0.06440
1.049	0.06450
1.0492	0.06459
1.0494	0.06460
1.0496	0.06470
1.0498	0.06483
1.05	0.06497
1.0503	0.06509
1.0505	0.06504
1.0507	0.06507
1.0509	0.06512
1.0511	0.06518
1.0513	0.06541
1.0515	0.06547
1.0517	0.06546
1.0519	0.06557
1.0522	0.06571
1.0524	0.06576
1.0526	0.06590
1.0528	0.06601
1.053	0.06602
1.0532	0.06603
1.0534	0.06609
1.0537	0.06626
1.0539	0.06626
1.0541	0.06625
1.0543	0.06635
1.0545	0.06642
1.0547	0.06645
1.0549	0.06660
1.0552	0.06673
1.0554	0.06682
1.0556	0.06693
1.0558	0.06707
1.056	0.06723
1.0562	0.06728
1.0564	0.06724
1.0567	0.06723
1.0569	0.06731
1.0571	0.06742
1.0573	0.06746
1.0575	0.06760
1.0578	0.06775
1.058	0.06784
1.0582	0.06794
1.0584	0.06809
1.0586	0.06815
1.0588	0.06807
1.059	0.06806
1.0593	0.06820
1.0595	0.06845
1.0597	0.06856
1.0599	0.06851
1.0601	0.06860
1.0603	0.06876
1.0606	0.06890
1.0608	0.06896
1.061	0.06898
1.0612	0.06913
1.0614	0.06930
1.0616	0.06944
1.0619	0.06954
1.0621	0.06955
1.0623	0.06964
1.0625	0.06985
1.0627	0.06996
1.0629	0.07000
1.0632	0.06999
1.0634	0.07004
1.0636	0.07015
1.0638	0.07021
1.064	0.07028
1.0643	0.07043
1.0645	0.07054
1.0647	0.07059
1.0649	0.07064
1.0651	0.07075
1.0653	0.07092
1.0656	0.07100
1.0658	0.07102
1.066	0.07112
1.0662	0.07128
1.0664	0.07150
1.0667	0.07158
1.0669	0.07165
1.0671	0.07170
1.0673	0.07180
1.0676	0.07186
1.0678	0.07194
1.068	0.07212
1.0682	0.07217
1.0684	0.07221
1.0687	0.07229
1.0689	0.07255
1.0691	0.07277
1.0693	0.07277
1.0695	0.07280
1.0698	0.07297
1.07	0.07314
1.0702	0.07321
1.0704	0.07328
1.0706	0.07335
1.0708	0.07342
1.0711	0.07359
1.0713	0.07370
1.0715	0.07378
1.0717	0.07404
1.072	0.07422
1.0722	0.07426
1.0724	0.07436
1.0726	0.07444
1.0728	0.07444
1.0731	0.07455
