Brown University Keck/NASA Relab Spectrum LR-CMP-098/BKR1LR098
Wavelength(micron)	Reflectance
0.3	0.07532
0.305	0.07620
0.31	0.07840
0.315	0.07990
0.32	0.08165
0.325	0.08296
0.33	0.08392
0.335	0.08503
0.34	0.08620
0.345	0.08735
0.35	0.08864
0.355	0.09003
0.36	0.09128
0.365	0.09260
0.37	0.09388
0.375	0.09523
0.38	0.09653
0.385	0.09784
0.39	0.09913
0.395	0.10034
0.4	0.10140
0.405	0.10242
0.41	0.10337
0.415	0.10427
0.42	0.10518
0.425	0.10622
0.43	0.10720
0.435	0.10806
0.44	0.10898
0.445	0.10979
0.45	0.11057
0.455	0.11136
0.46	0.11215
0.465	0.11290
0.47	0.11381
0.475	0.11470
0.48	0.11556
0.485	0.11630
0.49	0.11699
0.495	0.11761
0.5	0.11801
0.505	0.11853
0.51	0.11918
0.515	0.11987
0.52	0.12070
0.525	0.12156
0.53	0.12237
0.535	0.12324
0.54	0.12408
0.545	0.12483
0.55	0.12577
0.555	0.12651
0.56	0.12709
0.565	0.12771
0.57	0.12839
0.575	0.12902
0.58	0.12984
0.585	0.13077
0.59	0.13164
0.595	0.13250
0.6	0.13343
0.605	0.13428
0.61	0.13506
0.615	0.13592
0.62	0.13664
0.625	0.13706
0.63	0.13754
0.635	0.13805
0.64	0.13854
0.645	0.13898
0.65	0.13956
0.655	0.14011
0.66	0.14070
0.665	0.14119
0.67	0.14173
0.675	0.14218
0.68	0.14251
0.685	0.14278
0.69	0.14289
0.695	0.14326
0.7	0.14380
0.705	0.14434
0.71	0.14485
0.715	0.14568
0.72	0.14622
0.725	0.14677
0.73	0.14727
0.735	0.14789
0.74	0.14832
0.745	0.14887
0.75	0.14924
0.755	0.14972
0.76	0.15015
0.765	0.15064
0.77	0.15105
0.775	0.15151
0.78	0.15188
0.785	0.15226
0.79	0.15264
0.795	0.15305
0.8	0.15351
0.805	0.15415
0.81	0.15474
0.815	0.15528
0.82	0.15555
0.825	0.15587
0.83	0.15587
0.835	0.15607
0.84	0.15626
0.845	0.15667
0.85	0.15707
0.855	0.15779
0.86	0.15791
0.865	0.15826
0.87	0.15819
0.875	0.15791
0.88	0.15844
0.885	0.15816
0.89	0.15873
0.895	0.15905
0.9	0.15901
0.905	0.16017
0.91	0.16002
0.915	0.16021
0.92	0.16090
0.925	0.16134
0.93	0.16120
0.935	0.16222
0.94	0.16234
0.945	0.16222
0.95	0.16280
0.955	0.16373
0.96	0.16394
0.965	0.16490
0.97	0.16534
0.975	0.16554
0.98	0.16600
0.985	0.16641
0.99	0.16643
0.995	0.16809
1	0.16801
1.005	0.16958
1.01	0.16928
1.015	0.17002
1.02	0.17055
1.025	0.17112
1.03	0.17156
1.035	0.17259
1.04	0.17276
1.045	0.17373
1.05	0.17427
1.055	0.17434
1.06	0.17526
1.065	0.17625
1.07	0.17661
1.075	0.17822
1.08	0.17868
1.085	0.17963
1.09	0.18073
1.095	0.18160
1.1	0.18224
1.105	0.18354
1.11	0.18373
1.115	0.18420
1.12	0.18533
1.125	0.18658
1.13	0.18724
1.135	0.18802
1.14	0.18886
1.145	0.18961
1.15	0.18940
1.155	0.19013
1.16	0.19076
1.165	0.19117
1.17	0.19205
1.175	0.19244
1.18	0.19327
1.185	0.19469
1.19	0.19510
1.195	0.19525
1.2	0.19616
1.205	0.19666
1.21	0.19735
1.215	0.19777
1.22	0.19836
1.225	0.19895
1.23	0.19956
1.235	0.19973
1.24	0.20013
1.245	0.20061
1.25	0.20087
1.255	0.20151
1.26	0.20232
1.265	0.20298
1.27	0.20345
1.275	0.20367
1.28	0.20420
1.285	0.20564
1.29	0.20645
1.295	0.20757
1.3	0.20827
1.305	0.20886
1.31	0.20957
1.315	0.21054
1.32	0.21096
1.325	0.21167
1.33	0.21244
1.335	0.21348
1.34	0.21365
1.345	0.21479
1.35	0.21527
1.355	0.21554
1.36	0.21656
1.365	0.21732
1.37	0.21759
1.375	0.21861
1.38	0.21865
1.385	0.22112
1.39	0.22219
1.395	0.22178
1.4	0.22284
1.405	0.22335
1.41	0.22436
1.415	0.22507
1.42	0.22589
1.425	0.22629
1.43	0.22704
1.435	0.22788
1.44	0.22855
1.445	0.22922
1.45	0.22994
1.455	0.23091
1.46	0.23161
1.465	0.23308
1.47	0.23371
1.475	0.23457
1.48	0.23529
1.485	0.23602
1.49	0.23635
1.495	0.23695
1.5	0.23742
1.505	0.23799
1.51	0.23834
1.515	0.23901
1.52	0.23934
1.525	0.23973
1.53	0.23990
1.535	0.24054
1.54	0.24115
1.545	0.24202
1.55	0.24310
1.555	0.24469
1.56	0.24536
1.565	0.24582
1.57	0.24630
1.575	0.24614
1.58	0.24652
1.585	0.24721
1.59	0.24768
1.595	0.24864
1.6	0.24923
1.605	0.24989
1.61	0.25041
1.615	0.25096
1.62	0.25084
1.625	0.25085
1.63	0.25089
1.635	0.25105
1.64	0.25141
1.645	0.25227
1.65	0.25335
1.655	0.25223
1.66	0.25346
1.665	0.25381
1.67	0.25390
1.675	0.25438
1.68	0.25473
1.685	0.25516
1.69	0.25576
1.695	0.25669
1.7	0.25627
1.705	0.25668
1.71	0.25656
1.715	0.25779
1.72	0.25784
1.725	0.25866
1.73	0.25842
1.735	0.25989
1.74	0.25911
1.745	0.26038
1.75	0.25983
1.755	0.26102
1.76	0.26059
1.765	0.26152
1.77	0.26230
1.775	0.26206
1.78	0.26295
1.785	0.26301
1.79	0.26286
1.795	0.26340
1.8	0.26345
1.805	0.26327
1.81	0.26412
1.815	0.26490
1.82	0.26572
1.825	0.26570
1.83	0.26607
1.835	0.26634
1.84	0.26641
1.845	0.26669
1.85	0.26681
1.855	0.26682
1.86	0.26735
1.865	0.26787
1.87	0.26803
1.875	0.26849
1.88	0.26918
1.885	0.26940
1.89	0.27023
1.895	0.27081
1.9	0.27110
1.905	0.27147
1.91	0.27177
1.915	0.27194
1.92	0.27233
1.925	0.27242
1.93	0.27299
1.935	0.27445
1.94	0.27445
1.945	0.27536
1.95	0.27548
1.955	0.27641
1.96	0.27570
1.965	0.27553
1.97	0.27548
1.975	0.27671
1.98	0.27751
1.985	0.27833
1.99	0.27812
1.995	0.27834
2	0.27883
2.005	0.27952
2.01	0.27987
2.015	0.28073
2.02	0.28135
2.025	0.28161
2.03	0.28200
2.035	0.28209
2.04	0.28269
2.045	0.28282
2.05	0.28334
2.055	0.28396
2.06	0.28448
2.065	0.28519
2.07	0.28607
2.075	0.28668
2.08	0.28680
2.085	0.28740
2.09	0.28770
2.095	0.28843
2.1	0.28969
2.105	0.29061
2.11	0.29134
2.115	0.29159
2.12	0.29175
2.125	0.29184
2.13	0.29236
2.135	0.29231
2.14	0.29279
2.145	0.29491
2.15	0.29490
2.155	0.29542
2.16	0.29627
2.165	0.29612
2.17	0.29670
2.175	0.29725
2.18	0.29777
2.185	0.29859
2.19	0.29910
2.195	0.30007
2.2	0.30072
2.205	0.30145
2.21	0.30201
2.215	0.30307
2.22	0.30363
2.225	0.30439
2.23	0.30531
2.235	0.30603
2.24	0.30667
2.245	0.30755
2.25	0.30818
2.255	0.30892
2.26	0.30990
2.265	0.31064
2.27	0.31084
2.275	0.31163
2.28	0.31221
2.285	0.31283
2.29	0.31349
2.295	0.31457
2.3	0.31525
2.305	0.31600
2.31	0.31652
2.315	0.31679
2.32	0.31709
2.325	0.31759
2.33	0.31803
2.335	0.31857
2.34	0.31935
2.345	0.32014
2.35	0.32086
2.355	0.32167
2.36	0.32218
2.365	0.32266
2.37	0.32281
2.375	0.32336
2.38	0.32381
2.385	0.32489
2.39	0.32562
2.395	0.32658
2.4	0.32730
2.405	0.32785
2.41	0.32815
2.415	0.32902
2.42	0.32949
2.425	0.33013
2.43	0.33105
2.435	0.33183
2.44	0.33235
2.445	0.33309
2.45	0.33368
2.455	0.33409
2.46	0.33451
2.465	0.33511
2.47	0.33585
2.475	0.33661
2.48	0.33750
2.485	0.33849
2.49	0.33926
2.495	0.34019
2.5	0.34076
2.505	0.34111
2.51	0.34135
2.515	0.34185
2.52	0.34218
2.525	0.34282
2.53	0.34365
2.535	0.34455
2.54	0.34476
2.545	0.34450
2.55	0.34568
2.5519	0.34580
2.5531	0.34591
2.5544	0.34599
2.5557	0.34610
2.5569	0.34628
2.5582	0.34638
2.5594	0.34652
2.5607	0.34674
2.562	0.34685
2.5632	0.34697
2.5645	0.34714
2.5658	0.34716
2.5671	0.34711
2.5683	0.34726
2.5696	0.34747
2.5709	0.34747
2.5721	0.34760
2.5734	0.34791
2.5747	0.34793
2.576	0.34805
2.5773	0.34820
2.5785	0.34816
2.5798	0.34827
2.5811	0.34851
2.5824	0.34857
2.5837	0.34879
2.585	0.34880
2.5863	0.34886
