Brown University Keck/NASA Relab Spectrum LR-CMP-023/LALR23
Wavelength(micron)	Reflectance
0.3	0.03309
0.305	0.03325
0.31	0.03293
0.315	0.03349
0.32	0.03403
0.325	0.03599
0.33	0.03669
0.335	0.03641
0.34	0.03666
0.345	0.03802
0.35	0.03865
0.355	0.03929
0.36	0.03956
0.365	0.03996
0.37	0.04039
0.375	0.04102
0.38	0.04180
0.385	0.04199
0.39	0.04243
0.395	0.04287
0.4	0.04349
0.405	0.04395
0.41	0.04414
0.415	0.04492
0.42	0.04473
0.425	0.04523
0.43	0.04575
0.435	0.04628
0.44	0.04670
0.445	0.04686
0.45	0.04734
0.455	0.04764
0.46	0.04795
0.465	0.04827
0.47	0.04854
0.475	0.04896
0.48	0.04920
0.485	0.04959
0.49	0.05005
0.495	0.05029
0.5	0.05059
0.505	0.05086
0.51	0.05114
0.515	0.05167
0.52	0.05212
0.525	0.05285
0.53	0.05302
0.535	0.05344
0.54	0.05373
0.545	0.05393
0.55	0.05435
0.555	0.05473
0.56	0.05509
0.565	0.05543
0.57	0.05575
0.575	0.05615
0.58	0.05631
0.585	0.05666
0.59	0.05687
0.595	0.05736
0.6	0.05773
0.605	0.05807
0.61	0.05827
0.615	0.05870
0.62	0.05901
0.625	0.05947
0.63	0.05993
0.635	0.05999
0.64	0.06059
0.645	0.06083
0.65	0.06109
0.655	0.06126
0.66	0.06167
0.665	0.06189
0.67	0.06253
0.675	0.06253
0.68	0.06259
0.685	0.06264
0.69	0.06297
0.695	0.06328
0.7	0.06324
0.705	0.06365
0.71	0.06405
0.715	0.06437
0.72	0.06486
0.725	0.06522
0.73	0.06531
0.735	0.06572
0.74	0.06574
0.745	0.06624
0.75	0.06637
0.755	0.06659
0.76	0.06676
0.765	0.06702
0.77	0.06722
0.775	0.06712
0.78	0.06749
0.785	0.06740
0.79	0.06778
0.795	0.06785
0.8	0.06837
0.805	0.06840
0.81	0.06840
0.815	0.06832
0.82	0.06861
0.825	0.06830
0.83	0.06815
0.835	0.06798
0.84	0.06801
0.845	0.06774
0.85	0.06747
0.855	0.06727
0.86	0.06709
0.865	0.06710
0.87	0.06675
0.875	0.06651
0.88	0.06653
0.885	0.06656
0.89	0.06628
0.895	0.06583
0.9	0.06582
0.905	0.06506
0.91	0.06493
0.915	0.06502
0.92	0.06499
0.925	0.06468
0.93	0.06512
0.935	0.06489
0.94	0.06488
0.945	0.06500
0.95	0.06483
0.955	0.06495
0.96	0.06503
0.965	0.06514
0.97	0.06509
0.975	0.06522
0.98	0.06537
0.985	0.06557
0.99	0.06575
0.995	0.06618
1	0.06628
1.005	0.06587
1.01	0.06616
1.015	0.06648
1.02	0.06663
1.025	0.06693
1.03	0.06743
1.035	0.06781
1.04	0.06808
1.045	0.06852
1.05	0.06899
1.055	0.06942
1.06	0.06972
1.065	0.06976
1.07	0.07013
1.075	0.07068
1.08	0.07111
1.085	0.07175
1.09	0.07228
1.095	0.07289
1.1	0.07351
1.105	0.07424
1.11	0.07492
1.115	0.07545
1.12	0.07591
1.125	0.07648
1.13	0.07707
1.135	0.07727
1.14	0.07790
1.145	0.07846
1.15	0.07879
1.155	0.07936
1.16	0.07965
1.165	0.07996
1.17	0.08033
1.175	0.08092
1.18	0.08128
1.185	0.08168
1.19	0.08199
1.195	0.08224
1.2	0.08238
1.205	0.08269
1.21	0.08281
1.215	0.08338
1.22	0.08380
1.225	0.08386
1.23	0.08417
1.235	0.08432
1.24	0.08456
1.245	0.08510
1.25	0.08514
1.255	0.08561
1.26	0.08582
1.265	0.08614
1.27	0.08643
1.275	0.08675
1.28	0.08706
1.285	0.08744
1.29	0.08769
1.295	0.08787
1.3	0.08827
1.305	0.08853
1.31	0.08897
1.315	0.08911
1.32	0.08965
1.325	0.09019
1.33	0.09041
1.335	0.09083
1.34	0.09135
1.345	0.09169
1.35	0.09195
1.355	0.09192
1.36	0.09252
1.365	0.09317
1.37	0.09367
1.375	0.09393
1.38	0.09362
1.385	0.09498
1.39	0.09539
1.395	0.09510
1.4	0.09522
1.405	0.09586
1.41	0.09684
1.415	0.09687
1.42	0.09702
1.425	0.09765
1.43	0.09810
1.435	0.09838
1.44	0.09850
1.445	0.09872
1.45	0.09900
1.455	0.09942
1.46	0.09985
1.465	0.10008
1.47	0.10031
1.475	0.10066
1.48	0.10108
1.485	0.10144
1.49	0.10175
1.495	0.10183
1.5	0.10217
1.505	0.10233
1.51	0.10277
1.515	0.10304
1.52	0.10327
1.525	0.10368
1.53	0.10425
1.535	0.10414
1.54	0.10450
1.545	0.10460
1.55	0.10480
1.555	0.10520
1.56	0.10557
1.565	0.10564
1.57	0.10604
1.575	0.10642
1.58	0.10639
1.585	0.10641
1.59	0.10689
1.595	0.10706
1.6	0.10704
1.605	0.10749
1.61	0.10770
1.615	0.10777
1.62	0.10786
1.625	0.10812
1.63	0.10826
1.635	0.10813
1.64	0.10865
1.645	0.10869
1.65	0.10893
1.655	0.10917
1.66	0.10971
1.665	0.11019
1.67	0.11029
1.675	0.11024
1.68	0.11054
1.685	0.11054
1.69	0.11065
1.695	0.11089
1.7	0.11189
1.705	0.11159
1.71	0.11156
1.715	0.11169
1.72	0.11177
1.725	0.11185
1.73	0.11199
1.735	0.11196
1.74	0.11219
1.745	0.11227
1.75	0.11243
1.755	0.11263
1.76	0.11247
1.765	0.11272
1.77	0.11281
1.775	0.11317
1.78	0.11331
1.785	0.11342
1.79	0.11366
1.795	0.11376
1.8	0.11380
1.805	0.11420
1.81	0.11417
1.815	0.11435
1.82	0.11436
1.825	0.11489
1.83	0.11490
1.835	0.11487
1.84	0.11498
1.845	0.11569
1.85	0.11566
1.855	0.11583
1.86	0.11600
1.865	0.11636
1.87	0.11640
1.875	0.11716
1.88	0.11690
1.885	0.11706
1.89	0.11714
1.895	0.11779
1.9	0.11694
1.905	0.11771
1.91	0.11857
1.915	0.11813
1.92	0.11831
1.925	0.11898
1.93	0.11880
1.935	0.11888
1.94	0.11916
1.945	0.11949
1.95	0.11955
1.955	0.11969
1.96	0.11989
1.965	0.11992
1.97	0.12032
1.975	0.12038
1.98	0.12072
1.985	0.12069
1.99	0.12085
1.995	0.12103
2	0.12139
2.005	0.12170
2.01	0.12173
2.015	0.12191
2.02	0.12230
2.025	0.12263
2.03	0.12283
2.035	0.12278
2.04	0.12315
2.045	0.12355
2.05	0.12374
2.055	0.12395
2.06	0.12431
2.065	0.12440
2.07	0.12450
2.075	0.12468
2.08	0.12506
2.085	0.12538
2.09	0.12547
2.095	0.12600
2.1	0.12643
2.105	0.12640
2.11	0.12643
2.115	0.12686
2.12	0.12711
2.125	0.12729
2.13	0.12750
2.135	0.12773
2.14	0.12788
2.145	0.12832
2.15	0.12871
2.155	0.12868
2.16	0.12916
2.165	0.12961
2.17	0.12977
2.175	0.12991
2.18	0.13055
2.185	0.13077
2.19	0.13107
2.195	0.13154
2.2	0.13171
2.205	0.13234
2.21	0.13238
2.215	0.13268
2.22	0.13312
2.225	0.13351
2.23	0.13373
2.235	0.13410
2.24	0.13445
2.245	0.13469
2.25	0.13509
2.255	0.13545
2.26	0.13589
2.265	0.13599
2.27	0.13656
2.275	0.13686
2.28	0.13707
2.285	0.13756
2.29	0.13769
2.295	0.13806
2.3	0.13867
2.305	0.13901
2.31	0.13911
2.315	0.13956
2.32	0.14012
2.325	0.14030
2.33	0.14083
2.335	0.14106
2.34	0.14141
2.345	0.14144
2.35	0.14190
2.355	0.14203
2.36	0.14262
2.365	0.14289
2.37	0.14316
2.375	0.14385
2.38	0.14388
2.385	0.14437
2.39	0.14496
2.395	0.14511
2.4	0.14564
2.405	0.14611
2.41	0.14647
2.415	0.14670
2.42	0.14727
2.425	0.14817
2.43	0.14848
2.435	0.14877
2.44	0.14964
2.445	0.14964
2.45	0.15012
2.455	0.15041
2.46	0.15070
2.465	0.15118
2.47	0.15110
2.475	0.15246
2.48	0.15267
2.485	0.15304
2.49	0.15346
2.495	0.15399
2.5	0.15461
2.502	0.15489
2.5032	0.15483
2.5044	0.15477
2.5056	0.15503
2.5068	0.15522
2.508	0.15508
2.5093	0.15518
2.5105	0.15551
2.5117	0.15558
2.5129	0.15555
2.5141	0.15590
2.5153	0.15602
2.5166	0.15585
2.5178	0.15601
2.519	0.15618
2.5202	0.15643
2.5215	0.15633
2.5227	0.15623
2.5239	0.15627
2.5252	0.15643
2.5264	0.15661
2.5276	0.15674
2.5288	0.15692
2.5301	0.15698
2.5313	0.15701
2.5326	0.15711
2.5338	0.15687
2.535	0.15708
2.5363	0.15736
2.5375	0.15740
2.5388	0.15731
2.54	0.15760
2.5412	0.15777
2.5425	0.15783
2.5437	0.15772
2.545	0.15759
2.5462	0.15771
2.5475	0.15781
2.5487	0.15793
2.55	0.15811
2.5512	0.15814
2.5525	0.15825
2.5538	0.15838
2.555	0.15865
2.5563	0.15896
2.5575	0.15904
2.5588	0.15889
2.5601	0.15886
2.5613	0.15890
2.5626	0.15880
2.5639	0.15882
2.5651	0.15897
